Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,timeofday,day_name,month_name,city
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265007,336.5565,00:00.0,44:00.0,Credit card,320.53,4.761904716,16.0265,7,Evening,Wednesday,March,Yangon
101-81-4070,C,Member,Female,Health and beauty,62.82,2,6.282000065,131.922,00:00.0,36:00.0,Ewallet,125.64,4.761904716,6.282,4.900000095,Afternoon,Thursday,January,Naypyitaw
102-06-2002,C,Member,Male,Sports and travel,25.25,5,6.3125,132.5625,00:00.0,52:00.0,Cash,126.25,4.761904716,6.3125,6.099999905,Afternoon,Wednesday,March,Naypyitaw
102-77-2261,C,Member,Male,Health and beauty,65.31,7,22.85849953,480.0285,00:00.0,02:00.0,Credit card,457.17,4.761904716,22.8585,4.199999809,Evening,Tuesday,March,Naypyitaw
105-10-6182,A,Member,Male,Fashion accessories,21.48,2,2.148000002,45.108,00:00.0,22:00.0,Ewallet,42.96,4.761904716,2.148,6.599999905,Afternoon,Wednesday,February,Yangon
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.33200073,510.972,00:00.0,10:00.0,Credit card,486.64,4.761904716,24.332,8.5,Afternoon,Friday,February,Yangon
106-35-6779,A,Member,Male,Home and lifestyle,44.34,2,4.434000015,93.114,00:00.0,26:00.0,Cash,88.68,4.761904716,4.434,5.800000191,Morning,Wednesday,March,Yangon
109-28-2512,B,Member,Female,Fashion accessories,97.61,6,29.28300095,614.943,00:00.0,01:00.0,Ewallet,585.66,4.761904716,29.283,9.899999619,Afternoon,Monday,January,Mandalay
109-86-4363,B,Member,Female,Sports and travel,60.08,7,21.02799988,441.588,00:00.0,36:00.0,Credit card,420.56,4.761904716,21.028,4.5,Morning,Thursday,February,Mandalay
110-05-6330,C,Normal,Female,Food and beverages,39.43,6,11.82900047,248.409,00:00.0,18:00.0,Credit card,236.58,4.761904716,11.829,9.399999619,Evening,Monday,March,Naypyitaw
110-48-7033,B,Member,Male,Fashion accessories,32.62,4,6.524000168,137.004,00:00.0,12:00.0,Cash,130.48,4.761904716,6.524,9,Afternoon,Tuesday,January,Mandalay
114-35-5271,B,Normal,Female,Electronic accessories,57.91,8,23.16399956,486.444,00:00.0,06:00.0,Cash,463.28,4.761904716,23.164,8.100000381,Afternoon,Thursday,February,Mandalay
115-38-7388,C,Member,Female,Fashion accessories,10.18,8,4.072000027,85.512,00:00.0,51:00.0,Credit card,81.44,4.761904716,4.072,9.5,Afternoon,Saturday,March,Naypyitaw
115-99-4379,B,Member,Female,Fashion accessories,54.73,7,19.15550041,402.2655,00:00.0,02:00.0,Credit card,383.11,4.761904716,19.1555,8.5,Evening,Thursday,March,Mandalay
